,asin,product_title,product_price,product_original_price,product_star_rating,product_num_ratings,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,has_variations,product_availability
0,B0CN3XR57P,"Introducing Amazon Kindle Colorsoft Signature Edition (32 GB) – With color display, auto-adjusting front light, wireless charging, and long battery life - Metallic Black",279.99,,,0,1,279.99,False,False,True,False,7K+ bought in past month,False,
1,B0CNVCQZG1,"New Amazon Kindle (16 GB) - Lightest and most compact Kindle, with glare-free display, faster page turns, adjustable front light, and long battery life - Matcha",109.99,,5,1,1,109.99,False,False,True,False,500+ bought in past month,False,
2,B0CZB9Z477,New Amazon Kindle Scribe (64GB) - Redesigned display with uniform borders. Now write directly on books and documents. With built-in notebook summarization. Includes Premium Pen - Metallic Jade,449.99,,,0,1,449.99,False,False,True,True,100+ bought in past month,False,
3,B0CJM1GNFQ,"Amazon Fire TV Stick 4K with AI-powered Fire TV Search, Wi-Fi 6, stream over 1.5 million movies and shows, free &amp; live TV",49.99,,4.7,41735,1,49.99,True,False,True,False,10K+ bought in past month,False,
4,B0C8RR4WN3,"All-new Amazon Kindle Paperwhite Signature Edition (32 GB) – Our fastest Kindle with auto-adjusting front light, wireless charging, and weeks of battery life – Metallic Black",199.99,,4,2,1,199.99,False,False,True,True,500+ bought in past month,False,
5,B0CT2N9MBQ,"All New, Made for Amazon, Wireless Charging Dock for Kindle Paperwhite Signature Editions (2022 &amp; 2024 Releases) and Kindle Colorsoft Signature Edition (2024 Release)",39.99,,,0,1,39.99,False,False,True,False,,False,
6,B0BZWRLRLK,"All-new Ring Battery Doorbell — Now with 66% more coverage, Head-to-Toe Video, Live View with Two-Way Talk, and Motion Detection &amp; Alerts (2024 release), Venetian Bronze",99.99,,4.3,409,1,99.99,False,False,True,True,10K+ bought in past month,False,
7,B0CFPTK5JG,"All-new Amazon Kindle Paperwhite (16 GB) – Our fastest Kindle ever, with new 7&quot; glare-free display and weeks of battery life – Raspberry",159.99,,3.9,8,1,159.99,False,False,True,True,500+ bought in past month,False,
8,B0DGNSVTFK,"Introducing All-New Amazon Plant-Based Leather Case- Lightweight, Protective Cover Designed with Sustainability in Mind for All-new Kindle Paperwhite and Kindle Colorsoft Signature Edition",42.99,,,0,1,42.99,True,False,True,False,1K+ bought in past month,False,
9,B0DGNVSYR5,"All-new Amazon Kindle Paperwhite and Kindle Colorsoft Signature Edition Case, Lightweight and Water-Safe, Foldable Protective Cover - Fabric",36.99,,,0,1,36.99,False,False,True,False,500+ bought in past month,False,
10,B01EZV35QU,"Kasa Smart Light Switch HS200, Single Pole, Needs Neutral Wire, 2.4GHz Wi-Fi Light Switch Works with Alexa and Google Home, UL Certified, No Hub Required , White, HS200",12.99,19.99,4.6,61564,11,9.31,False,False,True,True,6K+ bought in past month,False,
11,B0DGNZ372J,"All-new Amazon Kindle Paperwhite and Kindle Colorsoft Signature Edition Case, Lightweight and Foldable Protective Cover - Premium Leather",64.99,,,0,1,64.99,False,False,True,False,400+ bought in past month,False,
12,B0B6GLQJMV,Ring Indoor Cam (newest model) | Home or business security in 1080p HD video | White,59.99,,4.7,21408,3,44.99,False,False,True,True,10K+ bought in past month,True,
13,B0BFC7WQ6R,"All-new Amazon Echo Spot (2024 release), Smart alarm clock with vibrant sound + Alexa, no visual ads, Black",79.99,,4.6,11378,1,79.99,False,False,True,True,10K+ bought in past month,True,
14,B0BP9SNVH9,"Amazon Fire TV Stick 4K Max streaming device, supports Wi-Fi 6E, free &amp; live TV without cable or satellite.",59.99,,4.6,35593,1,59.99,False,False,True,True,10K+ bought in past month,False,
15,B0B1N5HW22,"Blink Outdoor 4 – Wireless smart security camera, two-year battery, 1080p HD day and infrared night live view, two-way talk – 1 camera system",99.99,,4.2,21317,1,99.99,True,False,True,True,10K+ bought in past month,False,
16,B0DG11DGXC,2-Year Protection Plan for Kindle,36.99,,,0,1,36.99,False,False,False,False,200+ bought in past month,False,
17,B08C1W5N87,"Amazon Fire TV Stick, HD, sharp picture quality, fast streaming, free &amp; live TV, Alexa Voice Remote with TV controls",39.99,,4.7,499123,1,39.99,False,False,True,True,10K+ bought in past month,False,
18,B0CX4XSY3X,"Amazon Kindle Case, Thin and Lightweight, Foldable Protective Cover - Fabric",31.99,,4.7,3022,4,30.39,False,False,True,False,100+ bought in past month,False,
19,B0D693NPQJ,"All New, Antiglare Screen Protector (2 Pack), for Amazon Kindle Paperwhite (2024 Releases) and Kindle Colorsoft (2024 Release)",16.99,,,0,1,16.99,False,False,True,False,,False,
20,B09ZXLRRHY,"Amazon Echo Pop | Alexa fits in anywhere: bedroom, living room, bathroom, office, and small spaces | Glacier White",39.99,,4.7,66537,1,39.99,False,False,True,True,10K+ bought in past month,True,
21,B0C5QRZ47P,"Ring Stick Up Cam Battery | Weather-Resistant Outdoor Camera, Live View, Color Night Vision, Two-way Talk, Motion alerts, Works with Alexa | White",99.99,,4.6,70715,3,71.24,False,False,True,True,10K+ bought in past month,True,
22,B0BWWZXWPL,"Blink Mini 2 — Plug-in smart security camera, HD night view in color, built-in spotlight, two-way audio, motion detection, Works with Alexa (White)",39.99,,4.4,3028,2,35.99,False,False,True,True,10K+ bought in past month,True,
23,B08SG2MS3V,"Blink Video Doorbell | Two-way audio, HD video, motion and chime app alerts and Alexa enabled — wired or wire-free (Black)",59.99,,4.2,150673,2,24.14,True,False,True,True,10K+ bought in past month,True,
24,B0BLS3Y632,"Amazon Echo Show 8 (3rd Gen, 2023 release) | With Spatial Audio, Smart Home Hub, and Alexa | Charcoal",149.99,,4.5,13609,1,149.99,False,True,True,True,10K+ bought in past month,True,
25,B0D5KKYKLZ,"Introducing All-New Plant-Based Leather Folio Cover with Magnetic Attach, Designed with Sustainability in Mind for New Amazon Kindle Scribe",69.99,,,0,1,69.99,False,False,True,False,50+ bought in past month,False,
26,B0BTTVRWPR,INSIGNIA 50-inch Class F30 Series LED 4K UHD Smart Fire TV with Alexa Voice Remote (NS-50F301NA24),229.99,299.99,4.4,13423,1,229.99,False,False,False,False,10K+ bought in past month,False,
27,B09B94RL1R,"Amazon Echo Dot (5th Gen, 2022 release) | With bigger vibrant sound, helpful routines and Alexa | Glacier White",49.99,,4.6,128507,1,49.99,False,False,False,True,10K+ bought in past month,True,
28,B0CG5VDC8P,"Amazon Basics Smart A19 LED Light Bulb, Color Changing, 9W (60W Equivalent), 800LM, Works with Alexa Only, 2.4 GHz Wi-Fi, No Hub Required, 1-Pack",12.99,,4.4,6147,14,11.49,False,False,True,True,10K+ bought in past month,False,
29,B09B2SBHQK,"Amazon Echo Show 5 (3rd Gen, 2023 release) | Smart display with 2x the bass and clearer sound | Charcoal",89.99,,4.4,35257,2,59.7,False,False,True,True,10K+ bought in past month,True,
30,B0BHZT5S12,"Amazon Fire HD 10 tablet (newest model) built for relaxation, 10.1&quot; vibrant Full HD screen, octa-core processor, 3 GB RAM, 32 GB, Black",139.99,,4.5,15282,1,139.99,False,False,True,True,10K+ bought in past month,False,
31,B0B1N4LM4J,"Blink Outdoor 4 – Wireless smart security camera, two-year battery, 1080p HD day and infrared night live view, two-way talk – 5 camera system",399.99,,4.1,3698,1,399.99,True,False,True,True,10K+ bought in past month,False,
32,B0C8S1Q6G7,2-Year Protection Plan for Kindle Paperwhite,25.99,,,0,1,25.99,False,False,False,False,100+ bought in past month,False,
33,B091GJ72FP,"Certified Refurbished Fire TV Stick Lite, free and live TV, Alexa Voice Remote Lite, smart home controls, HD streaming",17.99,24.99,4.4,1996,1,17.99,False,False,True,False,2K+ bought in past month,False,
34,B09L45VFCN,Ring Chime,34.99,,4.6,38934,4,34.64,True,False,True,False,10K+ bought in past month,False,
35,B0DDM3PGVF,INSIGNIA 70-inch Class F50 Series LED 4K UHD Smart Fire TV with Alexa Voice Remote (NS-70F501NA25),379.99,499.99,3.6,13,1,379.99,False,False,False,False,2K+ bought in past month,False,
36,B0CG6VFFVL,"Ring Floodlight Cam Wired Pro with Bird’s Eye View and 3D Motion Detection, White",249.99,,4.6,9430,2,208.24,False,False,True,True,5K+ bought in past month,True,
37,B0CG2JMX5X,All-new Ring No-Drill Mount for Battery Doorbell,19.99,,4.3,10656,2,19.19,False,False,True,False,10K+ bought in past month,False,
38,B0D5KPDR1X,"New Amazon Kindle Scribe Folio Cover with Magnetic Attach, Sleek Protective Case - Premium Leather",99.99,,,0,1,99.99,False,False,True,False,Also available in Black,False,
39,B0CG2VS5FD,"Introducing Ring Pan-Tilt Indoor Cam | See all around with 360° pan coverage, HD video, plus Two-Way Talk (2024 release) | White",79.99,,4.6,690,1,79.99,False,False,True,True,10K+ bought in past month,True,
40,B0D4P1T8RV,"TCL 75-Inch Class S5 UHD 4K LED Smart TV with Fire TV (75S551F, 2024 Model), Dolby Vision, HDR PRO+, Dolby Atmos, Alexa Built-in with Voice Remote, Apple AirPlay 2 Compatibility, Streaming Television",519.99,649.99,4,199,2,493.99,False,False,False,False,1K+ bought in past month,False,
41,B0BCMND272,INSIGNIA 42-inch Class F20 Series Smart Full HD 1080p Fire TV with Alexa Voice Remote (NS-42F201NA23),129.99,179.99,4.5,8999,1,129.99,False,False,False,False,10K+ bought in past month,False,
42,B0CFPNV5KM,All-new Amazon Kindle Paperwhite Kids (16 GB) – larger 7&quot; glare-free display – Kids read an average of 1+ hour per day with Kindle – Cyber City,179.99,,,0,1,179.99,False,False,True,True,50+ bought in past month,False,
